date,AQI,PM10,NO2,SO2,O3,Temperature,Humidity,Precipitation,month,log_PM2.5,log_CO,season_Spring,season_Summer,season_Winter,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,AQI_t+1,AQI_t+2,AQI_t+3,AQI_lag_1,AQI_lag_2,AQI_roll_mean_3,AQI_roll_std_3,AQI_diff
2023-07-16,91.58333333333331,108.42916666666667,6.075,3.720833333333333,54.208333333333336,30.4375,68.41666666666667,0.0,7,3.5702366739831644,4.955827057601261,False,True,False,False,False,False,False,False,True,93.625,82.75,71.83333333333333,83.66666666666667,83.29166666666667,83.30555555555556,0.3543708561394602,0.375
2023-07-17,93.625,97.9875,6.833333333333333,4.3875,56.0,30.7875,70.83333333333333,0.0,7,3.415538498932813,5.030437921392435,False,True,False,False,False,False,False,False,False,82.75,71.83333333333333,78.45833333333333,91.58333333333331,83.66666666666667,86.18055555555554,4.682698157794839,7.916666666666643
2023-07-18,82.75,79.39166666666667,6.775,4.4125000000000005,53.958333333333336,30.241666666666664,74.5,0.0,7,3.232449944895319,5.012855050834569,False,True,False,True,False,False,False,False,False,71.83333333333333,78.45833333333333,77.875,93.625,91.58333333333331,89.625,5.260076309119204,2.0416666666666856
2023-07-19,71.83333333333333,75.69166666666666,7.270833333333333,4.570833333333334,54.083333333333336,30.116666666666664,74.125,0.0,7,3.149704366006902,4.968655221855373,False,True,False,False,True,False,False,False,False,78.45833333333333,77.875,69.375,82.75,93.625,89.31944444444444,5.780164437618118,-10.875
2023-07-20,78.45833333333333,110.34583333333336,10.595833333333331,6.9,55.41666666666666,30.52083333333333,72.20833333333333,0.0,7,3.3734549843135264,5.212214667494625,False,True,False,False,False,True,False,False,False,77.875,69.375,70.29166666666667,71.83333333333333,82.75,82.7361111111111,10.895839972378488,-10.916666666666671
2023-07-21,77.875,77.78750000000001,9.55,6.145833333333333,52.16666666666666,30.39583333333333,75.91666666666667,0.0,7,3.091042453358316,5.18854900243579,False,True,False,False,False,False,True,False,False,69.375,70.29166666666667,61.66666666666666,78.45833333333333,71.83333333333333,77.68055555555556,5.499736946569076,6.625
2023-07-22,69.375,85.2,10.070833333333333,6.0875,59.375,30.525,77.08333333333333,0.0,7,3.1726573510665865,5.236441962829949,False,True,False,False,False,False,False,True,False,70.29166666666667,61.66666666666666,62.41666666666666,77.875,78.45833333333333,76.05555555555556,3.6681657289154406,-0.5833333333333286
2023-07-23,70.29166666666667,41.1125,14.604166666666666,9.054166666666667,75.91666666666667,30.15416666666667,81.625,0.0,7,2.9932291433358724,5.636276592290828,False,True,False,False,False,False,False,False,True,61.66666666666666,62.41666666666666,76.125,69.375,77.875,75.2361111111111,5.084243998571634,-8.5
2023-07-24,61.66666666666666,24.0,15.891666666666666,10.125,81.54166666666667,28.1125,88.75,0.0,7,2.779853933231194,5.738183901373533,False,True,False,False,False,False,False,False,False,62.41666666666666,76.125,71.91666666666667,70.29166666666667,69.375,72.5138888888889,4.665426422491027,0.9166666666666714
2023-07-25,62.41666666666666,57.37083333333334,21.4125,9.0875,51.875,28.5,85.375,0.0,7,3.221538942287684,5.66411721826377,False,True,False,True,False,False,False,False,False,76.125,71.91666666666667,65.79166666666667,61.66666666666666,70.29166666666667,67.1111111111111,4.737251410459212,-8.625000000000014
